Equipment No,Equipment Name,Owner Name,Availability,District,Phone Number,Rent Per Hour (INR)
EQ-1089,Disc Harrow,M. Narsimha,Available,Suryapet,7620332086,161
EQ-1090,Thresher,P. Satyanarayana,Available,Siddipet,8351785565,369
EQ-1091,Seed Drill,B. Laxman,Available,Medchal-Malkajgiri,9348315126,198
EQ-1092,Combine Harvester,P. Rajesh,Available,Ranga Reddy,8537656494,1338
EQ-1093,Thresher,D. Mohan,Rented Out,Hyderabad,9994310083,407
EQ-1094,Post Hole Digger,S. Rajender,Available,Yadadri Bhuvanagiri,7508431021,222
EQ-1095,Cultivator,Ramesh Kumar,Rented Out,Yadadri Bhuvanagiri,8677909930,239
EQ-1096,Disc Harrow,A. Venkat Reddy,Rented Out,Nalgonda,8567975319,224
EQ-1097,Tractor,Ramesh Kumar,Rented Out,Siddipet,9601856351,465
EQ-1098,Paddy Transplanter,A. Venkat Reddy,Available,Jagtial,8735540030,244
EQ-1099,Rotavator,G. Mohan Rao,Available,Sangareddy,8245706210,418
EQ-1100,Rotavator,Chandra Sekhar,Available,Karimnagar,8327268503,416
EQ-1101,Seed Drill,B. Laxman,Rented Out,Khammam,8370874491,120
EQ-1102,Rotavator,M. Raju,Available,Warangal,9798086909,317
EQ-1103,Chaff Cutter,M. Narsimha,Available,Suryapet,9365518424,151
EQ-1104,Laser Land Leveler,Ramesh Kumar,Available,Nalgonda,9608482316,1685
EQ-1105,Laser Land Leveler,K. Ramakrishna,Available,Nizamabad,7375139575,1785
EQ-1106,Combine Harvester,N. Mahender,Available,Suryapet,9433975497,1110
EQ-1107,Rotavator,T. Ravi,Available,Medak,7502982778,401
EQ-1108,Disc Harrow,P. Rajesh,Available,Medak,7991819497,162
EQ-1109,Sprayer (Battery Powered),K. Ramakrishna,Available,Yadadri Bhuvanagiri,7744687060,130
EQ-1110,Post Hole Digger,T. Ravi,Available,Warangal,7559967386,194
EQ-1111,Paddy Transplanter,M. Venkatesh,Available,Hyderabad,8982971099,225
EQ-1112,Power Weeder,K. Ramakrishna,Available,Sangareddy,8859466878,139
EQ-1113,Combine Harvester,K. Sridhar,Available,Medak,7931764920,1495
EQ-1114,Power Weeder,J. Prakash,Available,Warangal,9991990632,122
EQ-1115,Thresher,P. Satyanarayana,Available,Suryapet,8711871397,456
EQ-1116,Power Weeder,G. Mohan Rao,Available,Hyderabad,8448981305,146
EQ-1117,Disc Harrow,M. Raju,Available,Suryapet,8465436049,171
EQ-1118,Sprayer (Battery Powered),A. Venkat Reddy,Available,Mahabubnagar,9654724287,148
EQ-1119,Disc Harrow,M. Venkatesh,Rented Out,Nizamabad,7914073098,161
EQ-1120,Thresher,P. Rajesh,Rented Out,Nizamabad,9199915275,375
EQ-1121,Power Weeder,Y. Srinivasa Rao,Available,Khammam,7724440558,194
EQ-1122,Paddy Transplanter,M. Raju,Available,Karimnagar,7690975123,184
EQ-1123,Sprayer (Battery Powered),N. Mahender,Rented Out,Khammam,8369942642,159
EQ-1124,Sprayer (Battery Powered),K. Ramakrishna,Available,Warangal,9897662466,237
EQ-1125,Sprayer (Battery Powered),M. Narsimha,Available,Nalgonda,9893070706,223
EQ-1126,Sprayer (Battery Powered),P. Satyanarayana,Available,Ranga Reddy,9418092217,158
EQ-1127,Combine Harvester,N. Mahender,Available,Hyderabad,7673523188,1129
EQ-1128,Rotavator,P. Satyanarayana,Available,Mahabubnagar,8848846217,332
EQ-1129,Balers,V. Krishna,Rented Out,Ranga Reddy,9716396766,172
EQ-1130,Thresher,M. Raju,Rented Out,Warangal,9155165334,364
EQ-1131,Power Tiller,M. Raju,Available,Karimnagar,8179545125,447
EQ-1132,Chaff Cutter,V. Krishna,Available,Medchal-Malkajgiri,9970957171,244
EQ-1133,Power Tiller,Mohammad Ali,Available,Ranga Reddy,7920814900,406
EQ-1134,Laser Land Leveler,A. Venkat Reddy,Available,Suryapet,7508427798,1461
EQ-1135,Cultivator,J. Prakash,Rented Out,Khammam,7766823010,115
EQ-1136,Sprayer (Battery Powered),A. Venkat Reddy,Available,Suryapet,9771641650,154
EQ-1137,Chaff Cutter,P. Satyanarayana,Available,Medchal-Malkajgiri,9286630878,241
EQ-1138,Combine Harvester,M. Venkatesh,Available,Karimnagar,8840206617,1608
EQ-1139,Cultivator,M. Raju,Available,Nalgonda,8859088046,172
EQ-1140,Balers,P. Rajesh,Rented Out,Ranga Reddy,7350636897,167
EQ-1141,Laser Land Leveler,V. Krishna,Available,Karimnagar,9684719405,1230
EQ-1142,Combine Harvester,V. Krishna,Available,Yadadri Bhuvanagiri,9176675731,1061
EQ-1143,Post Hole Digger,Chandra Sekhar,Available,Medak,7985021282,245
EQ-1144,Thresher,Mohammad Ali,Available,Nizamabad,7426515425,479
EQ-1145,Cultivator,S. Rajender,Rented Out,Nizamabad,9742136977,110
EQ-1146,Sprayer (Battery Powered),K. Sridhar,Available,Medak,8127772220,123
EQ-1147,Chaff Cutter,Y. Srinivasa Rao,Available,Suryapet,7981994345,168
EQ-1148,Rotavator,T. Ravi,Available,Nizamabad,7799552991,413
EQ-1149,Combine Harvester,P. Satyanarayana,Rented Out,Sangareddy,8197970787,1481
EQ-1150,Power Weeder,N. Mahender,Available,Warangal,7212313264,141
EQ-1151,Power Weeder,B. Laxman,Rented Out,Khammam,7529982328,240
EQ-1152,Thresher,Suresh Reddy,Available,Warangal,8447112584,329
EQ-1153,Power Weeder,M. Narsimha,Available,Sangareddy,7596043327,205
EQ-1154,Disc Harrow,Suresh Reddy,Available,Medak,8771527524,213
EQ-1155,Rotavator,M. Narsimha,Available,Khammam,7240674381,373
EQ-1156,Sprayer (Battery Powered),J. Prakash,Rented Out,Ranga Reddy,9776481264,161
EQ-1157,Combine Harvester,P. Rajesh,Available,Mahabubnagar,9692975437,1417
EQ-1158,Disc Harrow,M. Venkatesh,Available,Nizamabad,9795472980,139
EQ-1159,Sprayer (Battery Powered),M. Raju,Available,Mahabubnagar,7393587744,206
EQ-1160,Thresher,M. Raju,Available,Nizamabad,7255308128,398
EQ-1161,Laser Land Leveler,G. Bhaskar,Available,Yadadri Bhuvanagiri,9396618390,1791
EQ-1162,Seed Drill,K. Sridhar,Available,Yadadri Bhuvanagiri,9403696046,176
EQ-1163,Laser Land Leveler,T. Ravi,Rented Out,Yadadri Bhuvanagiri,9579476614,1551
EQ-1164,Seed Drill,M. Raju,Available,Mahabubnagar,7505026213,216
EQ-1165,Balers,B. Laxman,Available,Siddipet,9713963047,198
EQ-1166,Balers,Y. Srinivasa Rao,Rented Out,Hyderabad,8899621068,221
EQ-1167,Post Hole Digger,P. Rajesh,Rented Out,Karimnagar,7950826208,138
EQ-1168,Rotavator,M. Raju,Available,Mahabubnagar,7456476596,325
EQ-1169,Power Tiller,J. Prakash,Rented Out,Hyderabad,7254785699,404
EQ-1170,Combine Harvester,V. Krishna,Available,Nizamabad,8463527356,1638
EQ-1171,Power Weeder,P. Rajesh,Available,Yadadri Bhuvanagiri,8824085842,236
EQ-1172,Seed Drill,S. Rajender,Rented Out,Yadadri Bhuvanagiri,7138546365,117
EQ-1173,Chaff Cutter,Y. Srinivasa Rao,Available,Nalgonda,7197044071,211
EQ-1174,Post Hole Digger,K. Ramakrishna,Available,Nizamabad,9845178074,176
EQ-1175,Rotavator,Ramesh Kumar,Available,Suryapet,9415001254,391
EQ-1176,Power Weeder,N. Mahender,Available,Nalgonda,7542437192,244
EQ-1177,Post Hole Digger,G. Mohan Rao,Available,Medchal-Malkajgiri,9184791618,197
EQ-1178,Chaff Cutter,A. Venkat Reddy,Available,Nizamabad,7253671484,159
EQ-1179,Chaff Cutter,J. Prakash,Available,Nizamabad,8816014770,102
EQ-1180,Cultivator,J. Prakash,Available,Ranga Reddy,8471048258,250
EQ-1181,Chaff Cutter,Mohammad Ali,Rented Out,Siddipet,8590523712,177
EQ-1182,Power Weeder,G. Bhaskar,Rented Out,Ranga Reddy,9509486794,246
EQ-1183,Laser Land Leveler,N. Mahender,Available,Siddipet,8123557463,1674
EQ-1184,Cultivator,S. Rajender,Available,Medak,7935705734,112
EQ-1185,Sprayer (Battery Powered),A. Venkat Reddy,Rented Out,Yadadri Bhuvanagiri,8932945529,158
EQ-1186,Post Hole Digger,A. Venkat Reddy,Available,Nalgonda,7304152670,164
EQ-1187,Post Hole Digger,G. Mohan Rao,Available,Sangareddy,9773728014,110
EQ-1188,Post Hole Digger,Mohammad Ali,Rented Out,Hyderabad,7491766764,133
EQ-1189,Cultivator,M. Venkatesh,Available,Siddipet,8288592093,151
EQ-1190,Post Hole Digger,Anil Kumar,Available,Mahabubnagar,7392624015,142
EQ-1191,Balers,P. Satyanarayana,Rented Out,Suryapet,8901611993,186
EQ-1192,Thresher,K. Ramakrishna,Available,Medchal-Malkajgiri,9826197069,485
EQ-1193,Power Weeder,G. Mohan Rao,Available,Ranga Reddy,8114945047,167
EQ-1194,Power Tiller,D. Mohan,Rented Out,Warangal,7904245086,472
EQ-1195,Laser Land Leveler,P. Satyanarayana,Rented Out,Yadadri Bhuvanagiri,7498866784,1110
EQ-1196,Disc Harrow,G. Mohan Rao,Rented Out,Hyderabad,7702806585,183
EQ-1197,Disc Harrow,A. Venkat Reddy,Available,Sangareddy,8852775879,177
EQ-1198,Power Weeder,V. Krishna,Available,Medchal-Malkajgiri,9139956218,177
EQ-1199,Power Tiller,M. Raju,Available,Nalgonda,7245668163,399
EQ-1200,Seed Drill,J. Prakash,Rented Out,Medak,7880179899,139
EQ-1201,Chaff Cutter,K. Sridhar,Available,Yadadri Bhuvanagiri,8761051532,204
EQ-1202,Rotavator,P. Satyanarayana,Available,Nalgonda,8577488537,360
EQ-1203,Power Tiller,N. Mahender,Available,Mahabubnagar,7485123110,315
EQ-1204,Cultivator,S. Rajender,Available,Ranga Reddy,8198433586,154
EQ-1205,Chaff Cutter,V. Krishna,Available,Hyderabad,8361530104,132
EQ-1206,Disc Harrow,T. Ravi,Available,Yadadri Bhuvanagiri,7322433532,250
EQ-1207,Balers,G. Bhaskar,Available,Warangal,9946799779,100
EQ-1208,Balers,P. Satyanarayana,Available,Medchal-Malkajgiri,7369137895,144
EQ-1209,Chaff Cutter,K. Ramakrishna,Available,Medchal-Malkajgiri,9484659715,160
EQ-1210,Seed Drill,T. Ravi,Available,Medchal-Malkajgiri,8156263020,132
EQ-1211,Power Weeder,K. Ashok,Available,Siddipet,9611365210,214
EQ-1212,Seed Drill,M. Narsimha,Available,Nizamabad,7337887233,111
EQ-1213,Post Hole Digger,K. Ashok,Available,Nizamabad,7133447745,115
EQ-1214,Balers,M. Raju,Rented Out,Karimnagar,7215923129,225
EQ-1215,Thresher,P. Rajesh,Available,Jagtial,9445864933,455
EQ-1216,Power Tiller,Anil Kumar,Available,Khammam,7779760958,449
EQ-1217,Sprayer (Battery Powered),D. Mohan,Available,Karimnagar,7669681065,175
EQ-1218,Paddy Transplanter,J. Prakash,Rented Out,Ranga Reddy,7222851168,241
EQ-1219,Balers,K. Ashok,Available,Karimnagar,8345343109,205
EQ-1220,Balers,B. Laxman,Rented Out,Karimnagar,8883415470,124
EQ-1221,Power Weeder,B. Laxman,Available,Sangareddy,8501902658,139
EQ-1222,Thresher,G. Mohan Rao,Available,Ranga Reddy,9200105056,410
EQ-1223,Sprayer (Battery Powered),K. Ramakrishna,Available,Suryapet,9697398528,115
EQ-1224,Paddy Transplanter,T. Ravi,Available,Sangareddy,9541102414,190
EQ-1225,Post Hole Digger,G. Mohan Rao,Rented Out,Yadadri Bhuvanagiri,7155239803,173
EQ-1226,Cultivator,A. Venkat Reddy,Available,Ranga Reddy,7644830077,154
EQ-1227,Chaff Cutter,Anil Kumar,Rented Out,Nalgonda,9475932035,242
EQ-1228,Power Tiller,N. Mahender,Available,Medak,9966747347,409
EQ-1229,Post Hole Digger,D. Mohan,Available,Medak,7990626742,168
EQ-1230,Combine Harvester,Ramesh Kumar,Available,Siddipet,8464883950,1359
EQ-1231,Combine Harvester,Ramesh Kumar,Available,Medak,7530338918,1071
EQ-1232,Sprayer (Battery Powered),Anil Kumar,Available,Ranga Reddy,7669601448,155
EQ-1233,Power Weeder,S. Rajender,Rented Out,Warangal,9497341481,179
EQ-1234,Seed Drill,K. Ashok,Available,Jagtial,9267052653,140
EQ-1235,Laser Land Leveler,M. Narsimha,Available,Sangareddy,9392168202,1453
EQ-1236,Power Weeder,G. Mohan Rao,Rented Out,Medak,8544726404,169
EQ-1237,Post Hole Digger,G. Bhaskar,Available,Warangal,8219066986,172
EQ-1238,Chaff Cutter,G. Mohan Rao,Rented Out,Mahabubnagar,7431162800,111
EQ-1239,Power Weeder,Y. Srinivasa Rao,Available,Hyderabad,9423646570,154
EQ-1240,Combine Harvester,M. Narsimha,Available,Khammam,8228832213,1007
EQ-1241,Sprayer (Battery Powered),M. Raju,Rented Out,Medchal-Malkajgiri,9508244633,236
EQ-1242,Disc Harrow,P. Rajesh,Available,Ranga Reddy,8896760809,110
EQ-1243,Rotavator,K. Sridhar,Rented Out,Jagtial,9436146289,447
EQ-1244,Laser Land Leveler,K. Sridhar,Rented Out,Siddipet,7548495473,1296
EQ-1245,Power Weeder,K. Ramakrishna,Available,Warangal,9960413104,217
EQ-1246,Seed Drill,P. Rajesh,Available,Karimnagar,9361259074,211
EQ-1247,Power Weeder,T. Ravi,Available,Karimnagar,8900801837,186
EQ-1248,Seed Drill,Y. Srinivasa Rao,Available,Ranga Reddy,7779919809,129
EQ-1249,Paddy Transplanter,K. Naresh,Available,Jagtial,8476990466,137
EQ-1250,Power Tiller,Y. Srinivasa Rao,Available,Khammam,9286293158,454
EQ-1251,Post Hole Digger,Anil Kumar,Available,Medchal-Malkajgiri,7630554118,218
EQ-1252,Laser Land Leveler,M. Narsimha,Rented Out,Sangareddy,7790407222,1650
EQ-1253,Seed Drill,A. Venkat Reddy,Available,Medchal-Malkajgiri,8173321814,220
EQ-1254,Chaff Cutter,J. Prakash,Available,Suryapet,8735032128,114
EQ-1255,Paddy Transplanter,N. Mahender,Available,Khammam,8585238820,109
EQ-1256,Seed Drill,Suresh Reddy,Available,Ranga Reddy,7196955134,229
EQ-1257,Thresher,S. Rajender,Available,Nizamabad,7799905142,348
EQ-1258,Laser Land Leveler,B. Laxman,Rented Out,Mahabubnagar,9166436383,1461
EQ-1259,Post Hole Digger,K. Ramakrishna,Available,Siddipet,9641755366,144
EQ-1260,Disc Harrow,Suresh Reddy,Rented Out,Nizamabad,7661296425,140
EQ-1261,Seed Drill,N. Mahender,Available,Karimnagar,8931575232,186
EQ-1262,Laser Land Leveler,G. Mohan Rao,Available,Suryapet,7795038832,1342
EQ-1263,Seed Drill,M. Venkatesh,Available,Mahabubnagar,7515070154,172
EQ-1264,Sprayer (Battery Powered),P. Satyanarayana,Available,Warangal,9725711790,136
EQ-1265,Cultivator,N. Mahender,Rented Out,Medchal-Malkajgiri,7861104727,121
EQ-1266,Paddy Transplanter,Mohammad Ali,Rented Out,Sangareddy,8973150512,132
EQ-1267,Sprayer (Battery Powered),G. Mohan Rao,Available,Sangareddy,7554629125,230
EQ-1268,Rotavator,N. Mahender,Available,Khammam,9329987621,387
EQ-1269,Thresher,M. Narsimha,Available,Nalgonda,9266371119,319
EQ-1270,Balers,Mohammad Ali,Available,Mahabubnagar,7996703082,234
EQ-1271,Chaff Cutter,Suresh Reddy,Available,Jagtial,7240712839,196
EQ-1272,Combine Harvester,Anil Kumar,Available,Yadadri Bhuvanagiri,7927959968,1639
EQ-1273,Sprayer (Battery Powered),Chandra Sekhar,Rented Out,Hyderabad,8491163514,160
EQ-1274,Laser Land Leveler,J. Prakash,Available,Suryapet,7941599226,1459
EQ-1275,Paddy Transplanter,Y. Srinivasa Rao,Available,Khammam,8996696177,149
EQ-1276,Chaff Cutter,N. Mahender,Rented Out,Nizamabad,8935504321,197
EQ-1277,Paddy Transplanter,K. Naresh,Rented Out,Medchal-Malkajgiri,9960345542,135
EQ-1278,Rotavator,P. Satyanarayana,Rented Out,Yadadri Bhuvanagiri,8695433590,326
EQ-1279,Balers,P. Rajesh,Available,Khammam,9919390458,141
EQ-1280,Thresher,P. Satyanarayana,Available,Yadadri Bhuvanagiri,8198476695,356
EQ-1281,Seed Drill,J. Prakash,Available,Karimnagar,9525689202,228
EQ-1282,Disc Harrow,N. Mahender,Rented Out,Ranga Reddy,8341096660,107
EQ-1283,Power Tiller,B. Laxman,Available,Suryapet,9247746438,309
EQ-1284,Balers,Mohammad Ali,Rented Out,Siddipet,9914799481,220
EQ-1285,Laser Land Leveler,J. Prakash,Available,Jagtial,9120405269,1262
EQ-1286,Balers,G. Bhaskar,Available,Mahabubnagar,7753780028,235
EQ-1287,Power Tiller,K. Sridhar,Available,Nalgonda,8230833665,312
EQ-1288,Power Weeder,Y. Srinivasa Rao,Rented Out,Ranga Reddy,9998386592,227
EQ-1289,Paddy Transplanter,A. Venkat Reddy,Available,Sangareddy,7717452511,161
EQ-1290,Combine Harvester,P. Rajesh,Available,Karimnagar,9760146764,1361
EQ-1291,Laser Land Leveler,Y. Srinivasa Rao,Rented Out,Medchal-Malkajgiri,7817490291,1087
EQ-1292,Seed Drill,K. Naresh,Available,Mahabubnagar,7644738967,229
EQ-1293,Rotavator,D. Mohan,Rented Out,Yadadri Bhuvanagiri,8146744734,462
EQ-1294,Seed Drill,S. Rajender,Available,Siddipet,9483426624,117
EQ-1295,Disc Harrow,N. Mahender,Available,Suryapet,7889401015,185
EQ-1296,Rotavator,Anil Kumar,Available,Mahabubnagar,8973498494,464
EQ-1297,Balers,Chandra Sekhar,Rented Out,Siddipet,8778321204,146
EQ-1298,Power Tiller,Anil Kumar,Rented Out,Hyderabad,8316456682,311
EQ-1299,Rotavator,G. Bhaskar,Available,Jagtial,8653388913,401
EQ-1300,Thresher,D. Mohan,Available,Hyderabad,7305195749,373
EQ-1301,Balers,N. Mahender,Available,Yadadri Bhuvanagiri,7456401418,169
EQ-1302,Post Hole Digger,K. Ramakrishna,Available,Karimnagar,8898120571,212
EQ-1303,Seed Drill,S. Rajender,Available,Nizamabad,7634211672,194
EQ-1304,Cultivator,K. Naresh,Available,Siddipet,8184747224,210
EQ-1305,Balers,A. Venkat Reddy,Available,Mahabubnagar,8444898148,126
EQ-1306,Seed Drill,M. Venkatesh,Available,Khammam,8747060047,209
EQ-1307,Sprayer (Battery Powered),Chandra Sekhar,Rented Out,Warangal,8145478504,190
EQ-1308,Power Weeder,A. Venkat Reddy,Available,Sangareddy,9180574838,203
EQ-1309,Paddy Transplanter,N. Mahender,Available,Hyderabad,9752376434,212
EQ-1310,Combine Harvester,Suresh Reddy,Available,Nalgonda,7493342201,1370
EQ-1311,Laser Land Leveler,S. Rajender,Available,Medak,9829137330,1460
EQ-1312,Seed Drill,N. Mahender,Rented Out,Suryapet,9716243819,135
EQ-1313,Seed Drill,K. Naresh,Rented Out,Warangal,7399240862,163
EQ-1314,Rotavator,K. Ramakrishna,Available,Nizamabad,7515524530,443
EQ-1315,Cultivator,K. Ramakrishna,Available,Siddipet,8330393232,173
EQ-1316,Thresher,P. Rajesh,Available,Ranga Reddy,9179512774,415
EQ-1317,Sprayer (Battery Powered),Chandra Sekhar,Rented Out,Ranga Reddy,7443154754,188
EQ-1318,Power Tiller,P. Rajesh,Available,Jagtial,8269119969,482
EQ-1319,Sprayer (Battery Powered),P. Rajesh,Available,Suryapet,8646272321,157
EQ-1320,Disc Harrow,K. Ramakrishna,Available,Nalgonda,8128222260,192
EQ-1321,Laser Land Leveler,D. Mohan,Available,Nizamabad,7239340792,1626
EQ-1322,Power Tiller,M. Venkatesh,Available,Karimnagar,7871880418,422
EQ-1323,Power Weeder,K. Naresh,Rented Out,Yadadri Bhuvanagiri,7179189225,132
EQ-1324,Chaff Cutter,B. Laxman,Available,Nizamabad,8830261466,232
EQ-1325,Combine Harvester,N. Mahender,Available,Suryapet,9564520346,1514
EQ-1326,Balers,Suresh Reddy,Available,Mahabubnagar,9426551245,142
EQ-1327,Seed Drill,Chandra Sekhar,Available,Warangal,7404994549,120
EQ-1328,Disc Harrow,P. Satyanarayana,Available,Medchal-Malkajgiri,7425155441,236
EQ-1329,Paddy Transplanter,M. Venkatesh,Available,Medak,7265564833,143
EQ-1330,Laser Land Leveler,G. Mohan Rao,Available,Yadadri Bhuvanagiri,7144232045,1029
EQ-1331,Rotavator,M. Venkatesh,Available,Sangareddy,9923515952,446
EQ-1332,Laser Land Leveler,K. Sridhar,Available,Nizamabad,7685809361,1296
EQ-1333,Cultivator,V. Krishna,Rented Out,Nalgonda,7536038528,176
